date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 425, 195750, 195775, 491, 195762,  ,  , 0, 0, 9:21:48.0, 195750, init, 0, 12.671, 0, 0, 0, 0, 0, 0:0:0.0, 0, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 
20140815, 89, 195850, 195875, 367, 195855,  ,  , 134, 4844, 9:28:6.0, 195850, up, 1, 12.6704, -0.0129545, 0.0129545, 0.0129545, 0.0129545, 0, 0:0:0.0, 0.0129545, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 1, 0.0129545, 0.0129545, 9:28:6.0, 0, 0, 0, 0:0:0.0, 
20140815, 778, 195725, 195750, 14, 195750,  ,  , 28354, 37789, 9:40:0.0, 195750, dn, -1, 12.6839, 0.270727, 0.270727,  , 0.0129545, 0, 0:0:0.0, 0.0129545, 0, 0:0:0.0, 0.270727, 0.270727, 0, 0:0:0.0, 0.270727, 0, 0:0:0.0, 1, 0.0129545, 0.0129545, 9:28:6.0, 1, 0.270727, 0.270727, 9:40:0.0, 
20140815, 758, 195625, 195650, 312, 195643,  ,  , 39231, 47562, 9:43:51.0, 195650, dn, -1, 12.7345, 1.01103, 1.01103,  , 0.0129545, 0, 0:0:0.0, 0.0129545, 0, 0:0:0.0, 1.01103, 1.28176, 0, 0:0:0.0, 1.28176, 0, 0:0:0.0, 1, 0.0129545, 0.0129545, 9:28:6.0, 2, 1.28176, 0.640878, 9:40:0.0, 
20140815, 238, 195750, 195775, 1105, 195754,  ,  , 39452, 64758, 9:49:22.0, 195750, up, 1, 12.7374, 0.0580963, -0.0580963, -0.0580963, -0.0451418, 0, 0:0:0.0, -0.0451418, 0, 0:0:0.0,  , 1.28176, 0, 0:0:0.0, 1.28176, 0, 0:0:0.0, 2, -0.0451418, -0.0225709, 9:28:6.0, 2, 1.28176, 0.640878, 9:40:0.0, 
20140815, 102, 195850, 195875, 593, 195854,  ,  , 48234, 69718, 9:53:43.0, 195850, up, 1, 12.6823, -1.10149, 1.10149, 1.10149, 1.05634, 0, 0:0:0.0, 1.05634, 0, 0:0:0.0,  , 1.28176, 0, 0:0:0.0, 1.28176, 0, 0:0:0.0, 3, 1.05634, 0.352115, 9:28:6.0, 2, 1.28176, 0.640878, 9:40:0.0, 
20140815, 82, 195950, 195975, 943, 195952,  ,  , 62400, 84091, 10:4:1.0, 195950, up, 1, 12.6858, 0.0698485, -0.0698485, -0.0698485, 0.986496, 0, 0:0:0.0, 0.986496, 0, 0:0:0.0,  , 1.28176, 0, 0:0:0.0, 1.28176, 0, 0:0:0.0, 4, 0.986496, 0.246624, 9:28:6.0, 2, 1.28176, 0.640878, 9:40:0.0, 
20140815, 777, 195825, 195850, 7, 195850,  ,  , 77533, 102685, 10:15:9.0, 195850, dn, -1, 12.7115, 0.514601, 0.514601,  , 0.986496, 0, 0:0:0.0, 0.986496, 0, 0:0:0.0, 0.514601, 1.79636, 0, 0:0:0.0, 1.79636, 0, 0:0:0.0, 4, 0.986496, 0.246624, 9:28:6.0, 3, 1.79636, 0.598786, 9:40:0.0, 
20140815, 409, 195950, 195975, 823, 195958,  ,  , 83593, 110457, 10:18:38.0, 195950, up, 1, 12.6424, -1.38144, 1.38144, 1.38144, 2.36794, 0, 0:0:0.0, 2.36794, 0, 0:0:0.0,  , 1.79636, 0, 0:0:0.0, 1.79636, 0, 0:0:0.0, 5, 2.36794, 0.473588, 9:28:6.0, 3, 1.79636, 0.598786, 9:40:0.0, 
20140815, 236, 196050, 196075, 849, 196055,  ,  , 102286, 120148, 10:31:40.0, 196050, up, 1, 12.5979, -0.890223, 0.890223, 0.890223, 3.25816, 0, 0:0:0.0, 3.25816, 0, 0:0:0.0,  , 1.79636, 0, 0:0:0.0, 1.79636, 0, 0:0:0.0, 6, 3.25816, 0.543027, 9:28:6.0, 3, 1.79636, 0.598786, 9:40:0.0, 
20140815, 956, 195925, 195950, 293, 195944,  ,  , 118894, 127053, 10:40:15.0, 195950, dn, -1, 12.6263, 0.566557, 0.566557,  , 3.25816, 0, 0:0:0.0, 3.25816, 0, 0:0:0.0, 0.566557, 2.36291, 0, 0:0:0.0, 2.36291, 0, 0:0:0.0, 6, 3.25816, 0.543027, 9:28:6.0, 4, 2.36291, 0.590728, 9:40:0.0, 
20140815, 790, 195825, 195850, 140, 195846,  ,  , 123264, 127706, 10:40:44.0, 195850, dn, -1, 12.6611, 0.696526, 0.696526,  , 3.25816, 0, 0:0:0.0, 3.25816, 0, 0:0:0.0, 0.696526, 3.05944, 0, 0:0:0.0, 3.05944, 0, 0:0:0.0, 6, 3.25816, 0.543027, 9:28:6.0, 5, 3.05944, 0.611888, 9:40:0.0, 
20140815, 864, 195725, 195750, 100, 195747,  ,  , 133004, 130377, 10:41:48.0, 195750, dn, -1, 12.7125, 1.02827, 1.02827,  , 3.25816, 0, 0:0:0.0, 3.25816, 0, 0:0:0.0, 1.02827, 4.08771, 0, 0:0:0.0, 4.08771, 0, 0:0:0.0, 6, 3.25816, 0.543027, 9:28:6.0, 6, 4.08771, 0.681285, 9:40:0.0, 
20140815, 799, 195625, 195650, 89, 195647,  ,  , 137625, 134212, 10:42:26.0, 195650, dn, -1, 12.772, 1.19031, 1.19031,  , 3.25816, 0, 0:0:0.0, 3.25816, 0, 0:0:0.0, 1.19031, 5.27802, 0, 0:0:0.0, 5.27802, 0, 0:0:0.0, 6, 3.25816, 0.543027, 9:28:6.0, 7, 5.27802, 0.754003, 9:40:0.0, 
20140815, 916, 195525, 195550, 145, 195547,  ,  , 144244, 137160, 10:42:54.0, 195550, dn, -1, 12.8411, 1.3813, 1.3813,  , 3.25816, 0, 0:0:0.0, 3.25816, 0, 0:0:0.0, 1.3813, 6.65932, 0, 0:0:0.0, 6.65932, 0, 0:0:0.0, 6, 3.25816, 0.543027, 9:28:6.0, 8, 6.65932, 0.832415, 9:40:0.0, 
20140815, 168, 195650, 195675, 229, 195661,  ,  , 144671, 142811, 10:43:18.0, 195650, up, 1, 12.8381, -0.060414, 0.060414, 0.060414, 3.31858, 0, 0:0:0.0, 3.31858, 0, 0:0:0.0,  , 6.65932, 0, 0:0:0.0, 6.65932, 0, 0:0:0.0, 7, 3.31858, 0.474083, 9:28:6.0, 8, 6.65932, 0.832415, 9:40:0.0, 
20140815, 685, 195525, 195550, 1066, 195535,  ,  , 149642, 151613, 10:44:14.0, 195550, dn, -1, 12.8591, 0.420344, 0.420344,  , 3.31858, 0, 0:0:0.0, 3.31858, 0, 0:0:0.0, 0.420344, 7.07966, 0, 0:0:0.0, 7.07966, 0, 0:0:0.0, 7, 3.31858, 0.474083, 9:28:6.0, 9, 7.07966, 0.786629, 9:40:0.0, 
20140815, 703, 195425, 195450, 111, 195447,  ,  , 157225, 154271, 10:44:38.0, 195450, dn, -1, 12.9361, 1.53991, 1.53991,  , 3.31858, 0, 0:0:0.0, 3.31858, 0, 0:0:0.0, 1.53991, 8.61958, 0.861958, 9:40:0.0, 8.61958, 0, 0:0:0.0, 7, 3.31858, 0.474083, 9:28:6.0, 10, 8.61958, 0.861958, 9:40:0.0, 
20140815, 603, 195325, 195350, 257, 195343,  ,  , 168695, 157679, 10:45:6.0, 195350, dn, -1, 13.0244, 1.76643, 1.76643,  , 3.31858, 0, 0:0:0.0, 3.31858, 0, 0:0:0.0, 1.76643, 10.1153, 1.01153, 9:43:51.0, 10.386, 0, 0:0:0.0, 7, 3.31858, 0.474083, 9:28:6.0, 11, 10.386, 0.944182, 9:40:0.0, 
20140815, 18, 195450, 195475, 454, 195451,  ,  , 168731, 163111, 10:45:24.0, 195450, up, 1, 12.9807, -0.874433, 0.874433, 0.874433, 4.19301, 0, 0:0:0.0, 4.19301, 0, 0:0:0.0,  , 10.1153, 1.01153, 9:43:51.0, 10.386, 0, 0:0:0.0, 8, 4.19301, 0.524127, 9:28:6.0, 11, 10.386, 0.944182, 9:40:0.0, 
20140815, 714, 195325, 195350, 64, 195348,  ,  , 175998, 167457, 10:46:32.0, 195350, dn, -1, 13.038, 1.14589, 1.14589,  , 4.19301, 0, 0:0:0.0, 4.19301, 0, 0:0:0.0, 1.14589, 10.2501, 1.02501, 10:15:9.0, 11.5319, 0, 0:0:0.0, 8, 4.19301, 0.524127, 9:28:6.0, 12, 11.5319, 0.960991, 9:40:0.0, 
20140815, 150, 195225, 195250, 20, 195247,  ,  , 179660, 168568, 10:46:40.0, 195250, dn, -1, 13.0816, 0.873063, 0.873063,  , 4.19301, 0, 0:0:0.0, 4.19301, 0, 0:0:0.0, 0.873063, 10.6086, 1.06086, 10:40:15.0, 12.405, 0, 0:0:0.0, 8, 4.19301, 0.524127, 9:28:6.0, 13, 12.405, 0.954227, 9:40:0.0, 
20140815, 545, 195125, 195150, 474, 195138,  ,  , 193739, 170542, 10:47:21.0, 195150, dn, -1, 13.2441, 3.24872, 3.24872,  , 4.19301, 0, 0:0:0.0, 4.19301, 0, 0:0:0.0, 3.24872, 13.2908, 1.32908, 10:40:44.0, 15.6537, 0, 0:0:0.0, 8, 4.19301, 0.524127, 9:28:6.0, 14, 15.6537, 1.11812, 9:40:0.0, 
