date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 425, 195750, 195775, 491, 195762,  ,  , 0, 0, 9:21:48.0, 195750, init, 0, 13.7615, 0, 0, 0, 0, 0, 0:0:0.0, 0, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 
20140815, 89, 195850, 195875, 367, 195855,  ,  , 134, 4844, 9:28:6.0, 195850, up, 1, 13.7572, -0.0859353, 0.0859353, 0.0859353, 0.0859353, 0, 0:0:0.0, 0.0859353, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 1, 0.0859353, 0.0859353, 9:28:6.0, 0, 0, 0, 0:0:0.0, 
20140815, 778, 195725, 195750, 14, 195750,  ,  , 28354, 37789, 9:40:0.0, 195750, dn, -1, 13.8157, 1.16988, 1.16988,  , 0.0859353, 0, 0:0:0.0, 0.0859353, 0, 0:0:0.0, 1.16988, 1.16988, 0, 0:0:0.0, 1.16988, 0, 0:0:0.0, 1, 0.0859353, 0.0859353, 9:28:6.0, 1, 1.16988, 1.16988, 9:40:0.0, 
20140815, 758, 195625, 195650, 312, 195643,  ,  , 39231, 47562, 9:43:51.0, 195650, dn, -1, 13.84, 0.485192, 0.485192,  , 0.0859353, 0, 0:0:0.0, 0.0859353, 0, 0:0:0.0, 0.485192, 1.65507, 0, 0:0:0.0, 1.65507, 0, 0:0:0.0, 1, 0.0859353, 0.0859353, 9:28:6.0, 2, 1.65507, 0.827534, 9:40:0.0, 
20140815, 238, 195750, 195775, 1105, 195754,  ,  , 39452, 64758, 9:49:22.0, 195750, up, 1, 13.7911, -0.97749, 0.97749, 0.97749, 1.06343, 0, 0:0:0.0, 1.06343, 0, 0:0:0.0,  , 1.65507, 0, 0:0:0.0, 1.65507, 0, 0:0:0.0, 2, 1.06343, 0.531713, 9:28:6.0, 2, 1.65507, 0.827534, 9:40:0.0, 
20140815, 102, 195850, 195875, 593, 195854,  ,  , 48234, 69718, 9:53:43.0, 195850, up, 1, 13.7777, -0.267902, 0.267902, 0.267902, 1.33133, 0, 0:0:0.0, 1.33133, 0, 0:0:0.0,  , 1.65507, 0, 0:0:0.0, 1.65507, 0, 0:0:0.0, 3, 1.33133, 0.443776, 9:28:6.0, 2, 1.65507, 0.827534, 9:40:0.0, 
20140815, 82, 195950, 195975, 943, 195952,  ,  , 62400, 84091, 10:4:1.0, 195950, up, 1, 13.7322, -0.90923, 0.90923, 0.90923, 2.24056, 0, 0:0:0.0, 2.24056, 0, 0:0:0.0,  , 1.65507, 0, 0:0:0.0, 1.65507, 0, 0:0:0.0, 4, 2.24056, 0.560139, 9:28:6.0, 2, 1.65507, 0.827534, 9:40:0.0, 
20140815, 777, 195825, 195850, 7, 195850,  ,  , 77533, 102685, 10:15:9.0, 195850, dn, -1, 13.7594, 0.543081, 0.543081,  , 2.24056, 0, 0:0:0.0, 2.24056, 0, 0:0:0.0, 0.543081, 2.19815, 0, 0:0:0.0, 2.19815, 0, 0:0:0.0, 4, 2.24056, 0.560139, 9:28:6.0, 3, 2.19815, 0.732716, 9:40:0.0, 
20140815, 409, 195950, 195975, 823, 195958,  ,  , 83593, 110457, 10:18:38.0, 195950, up, 1, 13.7273, -0.641202, 0.641202, 0.641202, 2.88176, 0, 0:0:0.0, 2.88176, 0, 0:0:0.0,  , 2.19815, 0, 0:0:0.0, 2.19815, 0, 0:0:0.0, 5, 2.88176, 0.576352, 9:28:6.0, 3, 2.19815, 0.732716, 9:40:0.0, 
20140815, 236, 196050, 196075, 849, 196055,  ,  , 102286, 120148, 10:31:40.0, 196050, up, 1, 13.6824, -0.899245, 0.899245, 0.899245, 3.781, 0, 0:0:0.0, 3.781, 0, 0:0:0.0,  , 2.19815, 0, 0:0:0.0, 2.19815, 0, 0:0:0.0, 6, 3.781, 0.630167, 9:28:6.0, 3, 2.19815, 0.732716, 9:40:0.0, 
20140815, 956, 195925, 195950, 293, 195944,  ,  , 118894, 127053, 10:40:15.0, 195950, dn, -1, 13.7118, 0.588536, 0.588536,  , 3.781, 0, 0:0:0.0, 3.781, 0, 0:0:0.0, 0.588536, 2.78668, 0, 0:0:0.0, 2.78668, 0, 0:0:0.0, 6, 3.781, 0.630167, 9:28:6.0, 4, 2.78668, 0.696671, 9:40:0.0, 
20140815, 790, 195825, 195850, 140, 195846,  ,  , 123264, 127706, 10:40:44.0, 195850, dn, -1, 13.7433, 0.630488, 0.630488,  , 3.781, 0, 0:0:0.0, 3.781, 0, 0:0:0.0, 0.630488, 3.41717, 0, 0:0:0.0, 3.41717, 0, 0:0:0.0, 6, 3.781, 0.630167, 9:28:6.0, 5, 3.41717, 0.683434, 9:40:0.0, 
20140815, 864, 195725, 195750, 100, 195747,  ,  , 133004, 130377, 10:41:48.0, 195750, dn, -1, 13.7651, 0.435318, 0.435318,  , 3.781, 0, 0:0:0.0, 3.781, 0, 0:0:0.0, 0.435318, 3.85249, 0, 0:0:0.0, 3.85249, 0, 0:0:0.0, 6, 3.781, 0.630167, 9:28:6.0, 6, 3.85249, 0.642082, 9:40:0.0, 
20140815, 799, 195625, 195650, 89, 195647,  ,  , 137625, 134212, 10:42:26.0, 195650, dn, -1, 13.7828, 0.354169, 0.354169,  , 3.781, 0, 0:0:0.0, 3.781, 0, 0:0:0.0, 0.354169, 4.20666, 0, 0:0:0.0, 4.20666, 0, 0:0:0.0, 6, 3.781, 0.630167, 9:28:6.0, 7, 4.20666, 0.600951, 9:40:0.0, 
20140815, 916, 195525, 195550, 145, 195547,  ,  , 144244, 137160, 10:42:54.0, 195550, dn, -1, 13.854, 1.42387, 1.42387,  , 3.781, 0, 0:0:0.0, 3.781, 0, 0:0:0.0, 1.42387, 5.63053, 0, 0:0:0.0, 5.63053, 0, 0:0:0.0, 6, 3.781, 0.630167, 9:28:6.0, 8, 5.63053, 0.703816, 9:40:0.0, 
20140815, 168, 195650, 195675, 229, 195661,  ,  , 144671, 142811, 10:43:18.0, 195650, up, 1, 13.8273, -0.53364, 0.53364, 0.53364, 4.31465, 0, 0:0:0.0, 4.31465, 0, 0:0:0.0,  , 5.63053, 0, 0:0:0.0, 5.63053, 0, 0:0:0.0, 7, 4.31465, 0.616378, 9:28:6.0, 8, 5.63053, 0.703816, 9:40:0.0, 
20140815, 685, 195525, 195550, 1066, 195535,  ,  , 149642, 151613, 10:44:14.0, 195550, dn, -1, 13.84, 0.253674, 0.253674,  , 4.31465, 0, 0:0:0.0, 4.31465, 0, 0:0:0.0, 0.253674, 5.8842, 0, 0:0:0.0, 5.8842, 0, 0:0:0.0, 7, 4.31465, 0.616378, 9:28:6.0, 9, 5.8842, 0.6538, 9:40:0.0, 
20140815, 703, 195425, 195450, 111, 195447,  ,  , 157225, 154271, 10:44:38.0, 195450, dn, -1, 13.8862, 0.924706, 0.924706,  , 4.31465, 0, 0:0:0.0, 4.31465, 0, 0:0:0.0, 0.924706, 6.80891, 0.680891, 9:40:0.0, 6.80891, 0, 0:0:0.0, 7, 4.31465, 0.616378, 9:28:6.0, 10, 6.80891, 0.680891, 9:40:0.0, 
20140815, 603, 195325, 195350, 257, 195343,  ,  , 168695, 157679, 10:45:6.0, 195350, dn, -1, 13.9463, 1.20088, 1.20088,  , 4.31465, 0, 0:0:0.0, 4.31465, 0, 0:0:0.0, 1.20088, 6.83991, 0.683991, 9:43:51.0, 8.00978, 0, 0:0:0.0, 7, 4.31465, 0.616378, 9:28:6.0, 11, 8.00978, 0.728162, 9:40:0.0, 
20140815, 18, 195450, 195475, 454, 195451,  ,  , 168731, 163111, 10:45:24.0, 195450, up, 1, 13.911, -0.705723, 0.705723, 0.705723, 5.02037, 0, 0:0:0.0, 5.02037, 0, 0:0:0.0,  , 6.83991, 0.683991, 9:43:51.0, 8.00978, 0, 0:0:0.0, 8, 5.02037, 0.627546, 9:28:6.0, 11, 8.00978, 0.728162, 9:40:0.0, 
20140815, 714, 195325, 195350, 64, 195348,  ,  , 175998, 167457, 10:46:32.0, 195350, dn, -1, 13.9644, 1.06776, 1.06776,  , 5.02037, 0, 0:0:0.0, 5.02037, 0, 0:0:0.0, 1.06776, 7.42248, 0.742248, 10:15:9.0, 9.07754, 0, 0:0:0.0, 8, 5.02037, 0.627546, 9:28:6.0, 12, 9.07754, 0.756462, 9:40:0.0, 
20140815, 150, 195225, 195250, 20, 195247,  ,  , 179660, 168568, 10:46:40.0, 195250, dn, -1, 13.9926, 0.565238, 0.565238,  , 5.02037, 0, 0:0:0.0, 5.02037, 0, 0:0:0.0, 0.565238, 7.44463, 0.744463, 10:40:15.0, 9.64278, 0, 0:0:0.0, 8, 5.02037, 0.627546, 9:28:6.0, 13, 9.64278, 0.741752, 9:40:0.0, 
20140815, 545, 195125, 195150, 474, 195138,  ,  , 193739, 170542, 10:47:21.0, 195150, dn, -1, 14.0931, 2.01009, 2.01009,  , 5.02037, 0, 0:0:0.0, 5.02037, 0, 0:0:0.0, 2.01009, 8.86619, 0.886619, 10:40:44.0, 11.6529, 0, 0:0:0.0, 8, 5.02037, 0.627546, 9:28:6.0, 14, 11.6529, 0.832348, 9:40:0.0, 
