date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 425, 195750, 195775, 491, 195762,  ,  , 0, 0, 9:21:48.0, 195750, init, 0, 14.545, 0, 0, 0, 0, 0, 0:0:0.0, 0, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 
20140815, 89, 195850, 195875, 367, 195855,  ,  , 134, 4844, 9:28:6.0, 195850, up, 1, 14.5452, 0.00340484, -0.00340484, -0.00340484, -0.00340484, 0, 0:0:0.0, -0.00340484, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 1, -0.00340484, -0.00340484, 9:28:6.0, 0, 0, 0, 0:0:0.0, 
20140815, 778, 195725, 195750, 14, 195750,  ,  , 28354, 37789, 9:40:0.0, 195750, dn, -1, 14.5794, 0.684116, 0.684116,  , -0.00340484, 0, 0:0:0.0, -0.00340484, 0, 0:0:0.0, 0.684116, 0.684116, 0, 0:0:0.0, 0.684116, 0, 0:0:0.0, 1, -0.00340484, -0.00340484, 9:28:6.0, 1, 0.684116, 0.684116, 9:40:0.0, 
20140815, 758, 195625, 195650, 312, 195643,  ,  , 39231, 47562, 9:43:51.0, 195650, dn, -1, 14.605, 0.512088, 0.512088,  , -0.00340484, 0, 0:0:0.0, -0.00340484, 0, 0:0:0.0, 0.512088, 1.1962, 0, 0:0:0.0, 1.1962, 0, 0:0:0.0, 1, -0.00340484, -0.00340484, 9:28:6.0, 2, 1.1962, 0.598102, 9:40:0.0, 
20140815, 238, 195750, 195775, 1105, 195754,  ,  , 39452, 64758, 9:49:22.0, 195750, up, 1, 14.5607, -0.886702, 0.886702, 0.886702, 0.883297, 0, 0:0:0.0, 0.883297, 0, 0:0:0.0,  , 1.1962, 0, 0:0:0.0, 1.1962, 0, 0:0:0.0, 2, 0.883297, 0.441649, 9:28:6.0, 2, 1.1962, 0.598102, 9:40:0.0, 
20140815, 102, 195850, 195875, 593, 195854,  ,  , 48234, 69718, 9:53:43.0, 195850, up, 1, 14.5452, -0.309607, 0.309607, 0.309607, 1.1929, 0, 0:0:0.0, 1.1929, 0, 0:0:0.0,  , 1.1962, 0, 0:0:0.0, 1.1962, 0, 0:0:0.0, 3, 1.1929, 0.397635, 9:28:6.0, 2, 1.1962, 0.598102, 9:40:0.0, 
20140815, 82, 195950, 195975, 943, 195952,  ,  , 62400, 84091, 10:4:1.0, 195950, up, 1, 14.5039, -0.825162, 0.825162, 0.825162, 2.01807, 0, 0:0:0.0, 2.01807, 0, 0:0:0.0,  , 1.1962, 0, 0:0:0.0, 1.1962, 0, 0:0:0.0, 4, 2.01807, 0.504517, 9:28:6.0, 2, 1.1962, 0.598102, 9:40:0.0, 
20140815, 777, 195825, 195850, 7, 195850,  ,  , 77533, 102685, 10:15:9.0, 195850, dn, -1, 14.5306, 0.533789, 0.533789,  , 2.01807, 0, 0:0:0.0, 2.01807, 0, 0:0:0.0, 0.533789, 1.72999, 0, 0:0:0.0, 1.72999, 0, 0:0:0.0, 4, 2.01807, 0.504517, 9:28:6.0, 3, 1.72999, 0.576664, 9:40:0.0, 
20140815, 409, 195950, 195975, 823, 195958,  ,  , 83593, 110457, 10:18:38.0, 195950, up, 1, 14.5017, -0.579029, 0.579029, 0.579029, 2.59709, 0, 0:0:0.0, 2.59709, 0, 0:0:0.0,  , 1.72999, 0, 0:0:0.0, 1.72999, 0, 0:0:0.0, 5, 2.59709, 0.519419, 9:28:6.0, 3, 1.72999, 0.576664, 9:40:0.0, 
20140815, 236, 196050, 196075, 849, 196055,  ,  , 102286, 120148, 10:31:40.0, 196050, up, 1, 14.4712, -0.609085, 0.609085, 0.609085, 3.20618, 0, 0:0:0.0, 3.20618, 0, 0:0:0.0,  , 1.72999, 0, 0:0:0.0, 1.72999, 0, 0:0:0.0, 6, 3.20618, 0.534363, 9:28:6.0, 3, 1.72999, 0.576664, 9:40:0.0, 
20140815, 956, 195925, 195950, 293, 195944,  ,  , 118894, 127053, 10:40:15.0, 195950, dn, -1, 14.484, 0.255152, 0.255152,  , 3.20618, 0, 0:0:0.0, 3.20618, 0, 0:0:0.0, 0.255152, 1.98515, 0, 0:0:0.0, 1.98515, 0, 0:0:0.0, 6, 3.20618, 0.534363, 9:28:6.0, 4, 1.98515, 0.496286, 9:40:0.0, 
20140815, 790, 195825, 195850, 140, 195846,  ,  , 123264, 127706, 10:40:44.0, 195850, dn, -1, 14.5083, 0.486434, 0.486434,  , 3.20618, 0, 0:0:0.0, 3.20618, 0, 0:0:0.0, 0.486434, 2.47158, 0, 0:0:0.0, 2.47158, 0, 0:0:0.0, 6, 3.20618, 0.534363, 9:28:6.0, 5, 2.47158, 0.494316, 9:40:0.0, 
20140815, 864, 195725, 195750, 100, 195747,  ,  , 133004, 130377, 10:41:48.0, 195750, dn, -1, 14.5384, 0.601076, 0.601076,  , 3.20618, 0, 0:0:0.0, 3.20618, 0, 0:0:0.0, 0.601076, 3.07266, 0, 0:0:0.0, 3.07266, 0, 0:0:0.0, 6, 3.20618, 0.534363, 9:28:6.0, 6, 3.07266, 0.512109, 9:40:0.0, 
20140815, 799, 195625, 195650, 89, 195647,  ,  , 137625, 134212, 10:42:26.0, 195650, dn, -1, 14.5429, 0.0903539, 0.0903539,  , 3.20618, 0, 0:0:0.0, 3.20618, 0, 0:0:0.0, 0.0903539, 3.16301, 0, 0:0:0.0, 3.16301, 0, 0:0:0.0, 6, 3.20618, 0.534363, 9:28:6.0, 7, 3.16301, 0.451858, 9:40:0.0, 
