date, tBidSz, tBid, tAsk, tAskSz, fvTurn, trdPrc, trdSz, onBidSz, onAskSz, time, anchor(4), event, turnMove, fvSpot, spotMove, delta, upDelta, sumUpDelta(10), avgUp(10), up(10)from, sumUpDelta(20), avgUp(20), up(20)from, dnDelta, sumDnDelta(10), avgDn(10), dn(10)from, sumDnDelta(20), avgDn(20), dn(20)from, upCnt, totSumUp, totAvgUp, totUpFrom, dnCnt, totSumDn, totAvgDn, totDnFrom, 
20140815, 425, 195750, 195775, 491, 195762,  ,  , 0, 0, 9:21:48.0, 195750, init, 0, 15.2143, 0, 0, 0, 0, 0, 0:0:0.0, 0, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 0, 0, 0, 0:0:0.0, 
20140815, 89, 195850, 195875, 367, 195855,  ,  , 134, 4844, 9:28:6.0, 195850, up, 1, 15.2178, 0.0694773, -0.0694773, -0.0694773, -0.0694773, 0, 0:0:0.0, -0.0694773, 0, 0:0:0.0,  , 0, 0, 0:0:0.0, 0, 0, 0:0:0.0, 1, -0.0694773, -0.0694773, 9:28:6.0, 0, 0, 0, 0:0:0.0, 
20140815, 778, 195725, 195750, 14, 195750,  ,  , 28354, 37789, 9:40:0.0, 195750, dn, -1, 15.2378, 0.399921, 0.399921,  , -0.0694773, 0, 0:0:0.0, -0.0694773, 0, 0:0:0.0, 0.399921, 0.399921, 0, 0:0:0.0, 0.399921, 0, 0:0:0.0, 1, -0.0694773, -0.0694773, 9:28:6.0, 1, 0.399921, 0.399921, 9:40:0.0, 
20140815, 758, 195625, 195650, 312, 195643,  ,  , 39231, 47562, 9:43:51.0, 195650, dn, -1, 15.2598, 0.441563, 0.441563,  , -0.0694773, 0, 0:0:0.0, -0.0694773, 0, 0:0:0.0, 0.441563, 0.841485, 0, 0:0:0.0, 0.841485, 0, 0:0:0.0, 1, -0.0694773, -0.0694773, 9:28:6.0, 2, 0.841485, 0.420742, 9:40:0.0, 
20140815, 238, 195750, 195775, 1105, 195754,  ,  , 39452, 64758, 9:49:22.0, 195750, up, 1, 15.2367, -0.462675, 0.462675, 0.462675, 0.393197, 0, 0:0:0.0, 0.393197, 0, 0:0:0.0,  , 0.841485, 0, 0:0:0.0, 0.841485, 0, 0:0:0.0, 2, 0.393197, 0.196599, 9:28:6.0, 2, 0.841485, 0.420742, 9:40:0.0, 
20140815, 102, 195850, 195875, 593, 195854,  ,  , 48234, 69718, 9:53:43.0, 195850, up, 1, 15.2276, -0.182257, 0.182257, 0.182257, 0.575455, 0, 0:0:0.0, 0.575455, 0, 0:0:0.0,  , 0.841485, 0, 0:0:0.0, 0.841485, 0, 0:0:0.0, 3, 0.575455, 0.191818, 9:28:6.0, 2, 0.841485, 0.420742, 9:40:0.0, 
20140815, 82, 195950, 195975, 943, 195952,  ,  , 62400, 84091, 10:4:1.0, 195950, up, 1, 15.1884, -0.784538, 0.784538, 0.784538, 1.35999, 0, 0:0:0.0, 1.35999, 0, 0:0:0.0,  , 0.841485, 0, 0:0:0.0, 0.841485, 0, 0:0:0.0, 4, 1.35999, 0.339998, 9:28:6.0, 2, 0.841485, 0.420742, 9:40:0.0, 
20140815, 777, 195825, 195850, 7, 195850,  ,  , 77533, 102685, 10:15:9.0, 195850, dn, -1, 15.211, 0.453285, 0.453285,  , 1.35999, 0, 0:0:0.0, 1.35999, 0, 0:0:0.0, 0.453285, 1.29477, 0, 0:0:0.0, 1.29477, 0, 0:0:0.0, 4, 1.35999, 0.339998, 9:28:6.0, 3, 1.29477, 0.43159, 9:40:0.0, 
20140815, 409, 195950, 195975, 823, 195958,  ,  , 83593, 110457, 10:18:38.0, 195950, up, 1, 15.198, -0.260694, 0.260694, 0.260694, 1.62069, 0, 0:0:0.0, 1.62069, 0, 0:0:0.0,  , 1.29477, 0, 0:0:0.0, 1.29477, 0, 0:0:0.0, 5, 1.62069, 0.324137, 9:28:6.0, 3, 1.29477, 0.43159, 9:40:0.0, 
20140815, 236, 196050, 196075, 849, 196055,  ,  , 102286, 120148, 10:31:40.0, 196050, up, 1, 15.1835, -0.290215, 0.290215, 0.290215, 1.9109, 0, 0:0:0.0, 1.9109, 0, 0:0:0.0,  , 1.29477, 0, 0:0:0.0, 1.29477, 0, 0:0:0.0, 6, 1.9109, 0.318484, 9:28:6.0, 3, 1.29477, 0.43159, 9:40:0.0, 
20140815, 956, 195925, 195950, 293, 195944,  ,  , 118894, 127053, 10:40:15.0, 195950, dn, -1, 15.1722, -0.226507, -0.226507,  , 1.9109, 0, 0:0:0.0, 1.9109, 0, 0:0:0.0, -0.226507, 1.06826, 0, 0:0:0.0, 1.06826, 0, 0:0:0.0, 6, 1.9109, 0.318484, 9:28:6.0, 4, 1.06826, 0.267066, 9:40:0.0, 
20140815, 790, 195825, 195850, 140, 195846,  ,  , 123264, 127706, 10:40:44.0, 195850, dn, -1, 15.1889, 0.334608, 0.334608,  , 1.9109, 0, 0:0:0.0, 1.9109, 0, 0:0:0.0, 0.334608, 1.40287, 0, 0:0:0.0, 1.40287, 0, 0:0:0.0, 6, 1.9109, 0.318484, 9:28:6.0, 5, 1.40287, 0.280574, 9:40:0.0, 
20140815, 864, 195725, 195750, 100, 195747,  ,  , 133004, 130377, 10:41:48.0, 195750, dn, -1, 15.217, 0.561085, 0.561085,  , 1.9109, 0, 0:0:0.0, 1.9109, 0, 0:0:0.0, 0.561085, 1.96396, 0, 0:0:0.0, 1.96396, 0, 0:0:0.0, 6, 1.9109, 0.318484, 9:28:6.0, 6, 1.96396, 0.327326, 9:40:0.0, 
20140815, 799, 195625, 195650, 89, 195647,  ,  , 137625, 134212, 10:42:26.0, 195650, dn, -1, 15.2227, 0.115212, 0.115212,  , 1.9109, 0, 0:0:0.0, 1.9109, 0, 0:0:0.0, 0.115212, 2.07917, 0, 0:0:0.0, 2.07917, 0, 0:0:0.0, 6, 1.9109, 0.318484, 9:28:6.0, 7, 2.07917, 0.297024, 9:40:0.0, 
20140815, 916, 195525, 195550, 145, 195547,  ,  , 144244, 137160, 10:42:54.0, 195550, dn, -1, 15.2583, 0.711806, 0.711806,  , 1.9109, 0, 0:0:0.0, 1.9109, 0, 0:0:0.0, 0.711806, 2.79097, 0, 0:0:0.0, 2.79097, 0, 0:0:0.0, 6, 1.9109, 0.318484, 9:28:6.0, 8, 2.79097, 0.348872, 9:40:0.0, 
20140815, 168, 195650, 195675, 229, 195661,  ,  , 144671, 142811, 10:43:18.0, 195650, up, 1, 15.2507, -0.152023, 0.152023, 0.152023, 2.06293, 0, 0:0:0.0, 2.06293, 0, 0:0:0.0,  , 2.79097, 0, 0:0:0.0, 2.79097, 0, 0:0:0.0, 7, 2.06293, 0.294704, 9:28:6.0, 8, 2.79097, 0.348872, 9:40:0.0, 
20140815, 685, 195525, 195550, 1066, 195535,  ,  , 149642, 151613, 10:44:14.0, 195550, dn, -1, 15.2604, 0.194359, 0.194359,  , 2.06293, 0, 0:0:0.0, 2.06293, 0, 0:0:0.0, 0.194359, 2.98533, 0, 0:0:0.0, 2.98533, 0, 0:0:0.0, 7, 2.06293, 0.294704, 9:28:6.0, 9, 2.98533, 0.331704, 9:40:0.0, 
